Raw Ext Mean,Env Ext Mean,Raw Flex Mean,Env Flex Mean,Raw Ext Var,Env Ext Var,Raw Flex Var,Env Flex Var
2.63,2.76,2.48,0.97,0.25,0.27,0.12,0.03
2.54,4.61,2.49,0.97,0.45,0.25,0.08,0.01
2.43,4.27,2.49,0.83,0.41,0.4,0.07,0
2.52,3.51,2.48,0.72,0.33,0.44,0.05,0
2.56,3.43,2.49,0.65,0.35,0.04,0.05,0
2.57,3.64,2.5,0.63,0.36,0.01,0.04,0.01
2.51,3.43,2.5,0.59,0.3,0.03,0.03,0
2.48,2.92,2.48,0.52,0.25,0.04,0.02,0
2.55,3.58,2.48,0.44,0.23,0.1,0.01,0
2.57,4.52,2.48,0.78,0.16,0.16,0.03,0.07
2.56,3.88,2.48,1.74,0.26,0.09,0.55,0.15
2.56,2.77,2.54,2.02,0.33,0.08,0.67,0.12
2.53,1.78,2.54,1.42,0.21,0.12,0.25,0.05
2.55,1.06,2.49,0.98,0.22,0.06,0.17,0.02
2.53,0.82,2.51,0.76,0.26,0.02,0.08,0
2.54,0.96,2.49,0.72,0.28,0.02,0.03,0
2.56,1.06,2.48,0.83,0.19,0.01,0.02,0
2.56,0.86,2.48,0.91,0.09,0.01,0.01,0
2.6,2.49,2.48,0.99,0.19,0.48,0.04,0.01
2.59,4.52,2.48,0.95,0.29,0.48,0.04,0.01
2.5,4.57,2.48,1.23,0.36,0.19,0.02,0.03
2.53,3.09,2.48,1.7,0.4,0.24,0.02,0.03
2.59,1.61,2.48,1.67,0.36,0.07,0.02,0.01
2.54,1.42,2.49,1.3,0.38,0.02,0.02,0.01
2.55,1.25,2.49,0.93,0.32,0.01,0.02,0.01
2.59,1.01,2.48,0.7,0.27,0.01,0.01,0.01
2.55,0.88,2.48,0.5,0.19,0.01,0.01,0
2.5,2.33,2.47,0.56,0.3,0.58,0.02,0.02
2.45,4.29,2.48,1.13,0.57,0.58,0.02,0.06
2.46,4.45,2.49,1.72,0.69,0.12,0.02,0.05
2.49,3.49,2.49,1.52,0.7,0.15,0.02,0.04
2.47,2.54,2.49,0.81,0.62,0.07,0.01,0.03
2.49,2.08,2.49,0.48,0.55,0.05,0.01,0.01
2.51,1.75,2.49,0.52,0.49,0.02,0.01,0
2.53,1.44,2.48,0.59,0.36,0.02,0.01,0
2.53,1.11,2.48,0.57,0.22,0.02,0.01,0
2.6,2.35,2.48,0.68,0.16,0.92,0.04,0.03
2.55,4.26,2.48,1.06,0.24,0.93,0.05,0.05
2.45,4.01,2.48,1.37,0.45,0.62,0.04,0.04
2.54,2.14,2.48,1.31,0.36,0.63,0.03,0.01
2.55,1.09,2.49,1.09,0.32,0.04,0.01,0
2.5,1.07,2.48,0.86,0.37,0.03,0.02,0.01
2.52,1.12,2.48,0.62,0.26,0.06,0.02,0
2.51,1.49,2.49,0.49,0.2,0.07,0.01,0
2.52,1.39,2.47,0.46,0.08,0.07,0.01,0.01
2.52,1.78,2.48,0.7,0.06,0.17,0.02,0.01
2.58,3.13,2.47,1.17,0.09,0.14,0.03,0.03
2.58,3.38,2.47,1.76,0.07,0.03,0.03,0.04
2.56,2.79,2.49,2.09,0.06,0.02,0.03,0.03
2.54,2.39,2.49,1.71,0.06,0.01,0.03,0.03
2.55,1.98,2.5,1.13,0.07,0.02,0.01,0.02
2.57,1.57,2.5,0.7,0.05,0.01,0.01,0.01
2.54,1.25,2.48,0.43,0.05,0.01,0.01,0.01
2.54,1.23,2.49,0.43,0.26,0.13,0.02,0.02
2.52,1.49,2.48,0.96,0.44,0.15,0.17,0.05
2.54,1.48,2.44,1.45,0.32,0.03,0.3,0.05
