Raw Ext Mean,Env Ext Mean,Raw Flex Mean,Env Flex Mean,Raw Ext Var,Env Ext Var,Raw Flex Var,Env Flex Var
2.49,2.08,2.47,0.69,0.17,0.2,0.04,0
2.51,1.35,2.48,0.53,0.11,0.1,0.02,0
2.54,0.85,2.5,0.45,0.12,0.01,0.02,0
2.57,0.8,2.49,0.48,0.1,0.01,0.02,0
2.57,0.71,2.5,0.54,0.12,0.01,0.02,0
2.54,0.62,2.5,0.54,0.14,0.01,0.02,0
2.54,0.63,2.49,0.53,0.16,0.01,0.01,0
2.54,0.53,2.49,0.6,0.1,0.01,0.01,0
2.52,0.3,2.49,0.67,0.01,0.01,0,0.01
2.52,0.19,2.48,0.94,0,0,0,0.01
2.53,0.14,2.48,1.21,0,0,0,0.01
2.53,0.09,2.48,1.11,0,0,0,0
2.52,0.08,2.48,0.85,0,0,0,0.01
2.52,0.08,2.48,0.56,0,0,0,0.01
2.53,0.08,2.48,0.32,0,0,0,0.01
2.53,0.08,2.48,0.22,0,0,0,0
2.52,0.07,2.48,0.22,0,0,0,0
2.52,0.08,2.48,0.21,0,0,0,0
2.52,0.08,2.48,0.22,0,0,0,0
