Ext Mean,Flex Mean,Ext Var,Flex Var,Gesture
0.49,0.62,0.34,0.05,
0.5,0.58,0.29,0.04,
0.49,0.55,0.36,0.05,
0.51,0.49,0.39,0.04,
0.5,0.43,0.28,0.03,
0.42,0.39,0.21,0.03,
0.39,0.37,0.19,0.03,
0.35,0.35,0.16,0.02,
0.39,0.56,0.17,0.31,
0.7,1.13,0.13,0.59,
0.83,1.84,0.08,0.68,R
0.58,2.19,0.08,0.67,R
0.39,2.12,0.11,0.58,R
0.33,1.87,0.14,0.61,
0.24,1.5,0.09,0.52,
0.18,1.22,0.07,0.55,
0.18,1.13,0.06,0.74,
0.17,1.08,0.04,0.64,
0.16,1.09,0.05,0.65,
0.16,1.11,0.06,0.7,
0.23,1.01,0.22,0.47,
0.88,0.74,1.25,0.22,
1.41,0.54,1.64,0.06,P
1.25,0.58,0.82,0.04,P
0.98,0.6,0.39,0.03,
0.78,0.59,0.47,0.03,
0.68,0.61,0.44,0.03,
0.56,0.62,0.28,0.02,
0.5,0.61,0.33,0.02,
0.51,0.58,0.35,0.03,
0.51,0.57,0.31,0.03,
0.44,0.55,0.23,0.02,
0.38,0.48,0.15,0.01,
0.33,0.6,0.09,0.19,
0.59,1.06,0.1,0.4,R
0.89,1.44,0.1,0.51,R
0.73,1.56,0.08,0.5,R
0.45,1.51,0.07,0.43,
0.31,1.38,0.06,0.43,
0.26,1.28,0.07,0.36,
0.24,1.21,0.1,0.38,
0.21,1.11,0.08,0.34,
0.19,1.01,0.04,0.29,
0.18,0.93,0.05,0.33,
0.15,0.93,0.04,0.58,
0.34,0.9,0.62,0.49,
1.03,0.68,1.53,0.1,P
1.45,0.64,1.34,0.07,P
1.26,0.73,0.57,0.06,P
0.97,0.69,0.32,0.04,
0.69,0.63,0.22,0.03,
0.52,0.64,0.17,0.03,
0.45,0.65,0.23,0.04,
0.41,0.62,0.2,0.04,
0.36,0.56,0.15,0.03,
0.36,0.53,0.24,0.03,
0.34,0.58,0.32,0.09,
0.49,1.72,0.45,2.01,S
0.65,2.48,0.49,2.54,S
0.6,1.81,0.37,0.89,S
0.56,1.36,0.36,0.49,
0.57,1.15,0.48,0.35,
0.55,1.03,0.42,0.36,
0.48,0.97,0.32,0.52,
0.42,0.94,0.31,0.49,
0.39,0.99,0.3,0.45,
0.42,1.02,0.33,0.47,
0.44,0.96,0.31,0.34,
0.37,0.91,0.24,0.32,
0.35,0.71,0.14,0.19,
0.57,0.77,0.25,0.29,
0.92,1.22,0.57,0.34,P
1.7,1.36,2.03,0.17,P
1.88,0.99,1.81,0.12,P
1.29,0.55,0.29,0.04,
0.97,0.39,0.34,0.02,
0.73,0.38,0.36,0.02,
0.62,0.42,0.31,0.04,
0.6,0.48,0.39,0.05,
0.55,0.54,0.4,0.04,
0.52,0.56,0.3,0.03,
0.45,0.54,0.17,0.02,
0.36,0.48,0.21,0.02,
0.38,0.48,0.26,0.13,
0.57,1.37,0.35,1.19,S
0.66,1.87,0.53,1.47,S
0.64,1.4,0.56,0.84,S
0.7,1.21,0.69,0.91,
0.67,1.1,0.71,0.7,
0.6,1.02,0.6,0.45,
0.55,0.95,0.44,0.48,
0.51,0.95,0.38,0.56,
0.48,0.95,0.41,0.63,
0.5,0.95,0.31,0.7,
0.5,0.8,0.25,0.42,
0.75,0.94,0.23,0.32,
1.04,1.34,0.2,0.49,
0.84,1.57,0.1,0.69,R
0.51,1.67,0.13,0.89,R
0.38,1.49,0.16,0.65,R
0.35,1.33,0.12,0.54,
0.31,1.2,0.12,0.46,
0.27,1.05,0.12,0.45,
0.23,1.04,0.11,0.5,
0.22,1.05,0.07,0.78,
0.22,1.05,0.06,0.85,
0.19,1.06,0.04,0.55,
0.35,0.88,0.22,0.32,
0.68,0.71,0.52,0.09,
0.89,0.81,0.67,0.3,
0.97,0.96,0.61,0.43,
1.05,1.04,0.56,0.35,S
1.07,0.97,0.58,0.49,S
0.92,0.87,0.53,0.54,
0.76,0.84,0.54,0.36,
0.59,0.82,0.38,0.3,
0.49,0.81,0.35,0.37,
0.51,0.79,0.49,0.34,
0.55,0.77,0.46,0.47,
0.52,0.74,0.42,0.45,
0.41,0.77,0.33,0.31,
0.41,0.78,0.25,0.3,
0.71,0.98,0.23,0.55,
1.01,1.25,0.16,0.59,R
0.83,1.35,0.09,0.37,R
0.49,1.36,0.11,0.38,
0.29,1.22,0.1,0.27,
0.18,1.05,0.05,0.21,
0.18,0.98,0.07,0.3,
0.21,0.91,0.09,0.28,
0.22,0.83,0.1,0.2,
0.19,0.8,0.07,0.26,
