raw extension,env ext,raw flex,env flex
2.68,0.28,2.54,3.59
2.76,0.28,2.24,3.66
2.83,0.28,2.83,3.76
2.97,0.28,2.96,3.72
2.84,0.29,2.45,3.64
2.78,0.29,1.93,3.72
2.56,0.3,2.34,3.98
2.92,0.3,2.58,4.18
2.87,0.3,2.67,4.34
2.86,0.3,2.77,4.46
3.09,0.3,2.75,4.52
2.65,0.31,3.01,4.52
2.81,0.31,2.72,4.39
2.61,0.31,2.02,4.38
2.95,0.31,2.3,4.58
2.74,0.31,2.48,4.75
2.84,0.31,2.52,4.79
2.92,0.31,2.68,4.79
2.8,0.32,2.39,4.79
2.83,0.31,2.65,4.79
2.91,0.33,3.09,4.79
2.45,0.34,2.58,4.79
2.88,0.36,2.27,4.79
2.84,0.36,2.31,4.79
2.98,0.35,2.97,4.79
2.79,0.35,2.76,4.79
2.76,0.34,1.81,4.79
2.9,0.33,2.64,4.79
2.88,0.33,2.72,4.79
2.68,0.33,2.6,4.79
2.8,0.32,2.75,4.79
2.87,0.32,2.74,4.79
2.84,0.32,2.63,4.79
2.8,0.32,2.39,4.79
2.71,0.31,2.32,4.79
2.86,0.31,2.66,4.79
2.85,0.31,2.48,4.79
2.87,0.3,2.59,4.79
2.84,0.3,2.71,4.79
2.96,0.32,2.85,4.79
2.75,0.33,2.78,4.79
2.69,0.33,2.28,4.79
2.84,0.32,2.55,4.79
2.96,0.32,2.76,4.79
2.66,0.32,2.54,4.79
2.99,0.32,2.36,4.79
2.87,0.32,3.04,4.79
2.84,0.32,2.45,4.79
2.73,0.32,2.37,4.79
2.71,0.32,2.7,4.79
3.07,0.32,2.92,4.79
2.81,0.34,2.8,4.79
2.65,0.35,2.26,4.79
2.77,0.34,2.04,4.79
2.86,0.34,2.47,4.79
2.84,0.34,2.64,4.79
2.84,0.33,2.87,4.79
2.76,0.32,2.92,4.79
2.86,0.31,2.39,4.79
2.88,0.32,2.73,4.79
2.78,0.32,2.36,4.79
2.81,0.31,2.59,4.79
2.8,0.31,2.72,4.79
2.79,0.31,2.16,4.79
2.76,0.3,2.72,4.79
2.83,0.3,2.49,4.79
2.84,0.29,2.33,4.79
2.78,0.29,2.49,4.79
2.84,0.29,2.8,4.79
2.83,0.29,2.72,4.79
2.85,0.28,2.6,4.79
2.72,0.28,2.26,4.79
2.85,0.28,2.61,4.79
2.91,0.28,2.95,4.79
2.8,0.29,2.76,4.79
2.85,0.28,2.1,4.79
2.77,0.28,2.32,4.79
2.8,0.27,2.83,4.79
2.9,0.27,2.68,4.79
2.85,0.27,2.61,4.79
2.85,0.27,2.62,4.79
2.78,0.27,2.64,4.79
2.74,0.27,2.59,4.79
2.79,0.27,2.48,4.79
2.89,0.26,2.56,4.79
2.74,0.26,2.72,4.79
2.9,0.26,2.63,4.8
2.67,0.27,2.58,4.79
2.83,0.26,2.56,4.79
2.75,0.26,2.29,4.79
2.81,0.25,2.55,4.79
2.9,0.25,2.67,4.79
2.86,0.25,2.7,4.79
2.76,0.25,2.52,4.79
2.84,0.25,2.77,4.79
2.82,0.24,2.45,4.79
2.82,0.23,2.79,4.79
2.82,0.23,2.52,4.79
2.84,0.23,2.57,4.79
2.86,0.23,2.59,4.79
2.78,0.23,2.43,4.79
2.83,0.22,2.55,4.79
2.79,0.23,2.58,4.79
2.83,0.22,2.58,4.79
2.78,0.22,2.62,4.79
2.83,0.22,2.63,4.79
2.83,0.21,2.67,4.79
2.82,0.21,2.73,4.79
2.87,0.22,2.26,4.77
2.83,0.22,2.49,4.77
2.79,0.21,2.67,4.73
2.83,0.21,2.72,4.7
2.83,0.21,2.6,4.64
2.85,0.21,2.6,4.59
2.74,0.21,2.6,4.54
2.76,0.21,2.56,4.49
2.88,0.21,2.57,4.45
2.73,0.21,2.64,4.4
2.71,0.21,2.6,4.35
2.93,0.22,2.61,4.29
2.81,0.22,2.63,4.23
2.77,0.22,2.65,4.14
2.79,0.22,2.5,4.07
2.89,0.21,2.6,4
2.79,0.21,2.59,3.93
2.64,0.22,2.54,3.87
2.88,0.22,2.59,3.81
2.79,0.22,2.79,3.73
2.96,0.23,2.58,3.62
2.8,0.23,2.27,3.58
2.75,0.23,2.61,3.57
2.73,0.23,2.65,3.52
2.94,0.23,2.73,3.43
2.64,0.25,2.46,3.34
2.55,0.25,2.43,3.3
2.78,0.28,2.61,3.26
2.57,0.28,2.52,3.22
2.96,0.29,2.61,3.19
2.83,0.29,2.66,3.12
2.85,0.28,2.52,3.06
2.98,0.29,2.57,3.03
2.99,0.31,2.62,2.97
2.4,0.33,2.69,2.9
2.61,0.35,2.61,2.82
2.54,0.39,2.55,2.76
2.99,0.41,2.57,2.7
2.88,0.41,2.58,2.64
2.92,0.4,2.59,2.59
2.88,0.39,2.61,2.53
2.9,0.39,2.6,2.47
2.95,0.4,2.62,2.41
2.8,0.39,2.54,2.34
2.82,0.38,2.67,2.26
2.92,0.38,2.61,2.17
2.76,0.38,2.52,2.11
2.74,0.39,2.62,2.04
2.54,0.39,2.58,1.96
2.54,0.43,2.55,1.91
3.22,0.45,2.52,1.85
2.84,0.44,2.52,1.81
2.79,0.43,2.58,1.77
2.9,0.46,2.68,1.71
2.78,0.47,2.62,1.64
2.74,0.48,2.52,1.58
2.38,0.5,2.58,1.53
2.97,0.54,2.67,1.47
3.29,0.54,2.53,1.43
3.26,0.59,2.61,1.37
2.1,0.62,2.64,1.32
2.47,0.64,2.55,1.28
2.79,0.65,2.58,1.23
2.65,0.65,2.57,1.18
2.87,0.65,2.62,1.13
2.9,0.63,2.57,1.09
3.05,0.62,2.58,1.06
2.87,0.65,2.64,1.04
2.9,0.7,2.62,1
2.13,0.73,2.67,1
2.41,0.76,2.55,0.99
2.59,0.77,2.61,0.98
2.94,0.79,2.57,0.98
3.1,0.77,2.6,0.97
2.89,0.76,2.63,0.97
2.93,0.75,2.57,0.97
3.01,0.73,2.57,0.96
2.4,0.72,2.57,0.95
2.81,0.74,2.56,0.94
2.53,0.73,2.67,0.93
2.9,0.75,2.64,0.95
3.15,0.75,2.66,0.99
2.76,0.73,2.55,1.03
2.86,0.71,2.61,1.06
2.78,0.69,2.56,1.09
2.84,0.68,2.59,1.12
2.95,0.66,2.61,1.16
2.77,0.65,2.58,1.21
2.75,0.64,2.59,1.25
2.78,0.62,2.61,1.29
2.98,0.61,2.61,1.33
2.77,0.62,2.61,1.38
2.61,0.62,2.61,1.43
2.71,0.6,2.58,1.48
2.73,0.59,2.58,1.52
2.77,0.58,2.68,1.58
2.79,0.58,2.54,1.64
2.83,0.57,2.56,1.69
3.04,0.57,2.58,1.74
2.83,0.57,2.58,1.78
2.61,0.58,2.59,1.83
2.59,0.61,2.56,1.88
3.01,0.62,2.54,1.93
2.87,0.59,2.58,1.97
3,0.59,2.61,2.02
3.05,0.59,2.61,2.07
2.53,0.6,2.64,2.12
3.09,0.6,2.61,2.18
2.73,0.6,2.66,2.25
2.55,0.61,2.55,2.32
2.82,0.64,2.55,2.37
3.13,0.62,2.57,2.42
2.78,0.61,2.59,2.46
2.83,0.59,2.62,2.51
2.83,0.57,2.57,2.56
2.84,0.55,2.6,2.61
2.8,0.54,2.61,2.66
2.85,0.52,2.6,2.7
2.91,0.52,2.6,2.76
3.02,0.54,2.58,2.81
2.69,0.55,2.62,2.85
2.35,0.55,2.56,2.9
2.84,0.58,2.55,2.93
3.14,0.59,2.56,2.96
2.87,0.58,2.6,2.99
3.01,0.58,2.66,3.02
2.72,0.6,2.57,3.06
2.94,0.59,2.61,3.1
2.72,0.58,2.59,3.14
2.63,0.57,2.56,3.18
2.64,0.59,2.56,3.2
3.05,0.6,2.58,3.22
2.89,0.58,2.56,3.25
2.89,0.57,2.59,3.26
2.78,0.55,2.56,3.28
2.87,0.54,2.62,3.31
2.96,0.53,2.54,3.33
