Ext Mean,Flex Mean,Ext Var,Flex Var,Gesture,,,,,1,2,3,4
0.73,1.13,0.59,0.7,R,,,,,0.18,0.84,0.04,0.3
0.66,1.05,0.5,0.65,R,,,,,0.18,0.86,0.05,0.26
0.61,1.1,0.44,0.49,R,,,,,0.16,0.77,0.05,0.2
0.58,1.13,0.45,0.7,R,,,,,0.14,0.74,0.04,0.2
0.64,1.08,0.61,0.73,,,,,,0.24,0.7,0.64,0.29
0.61,1.06,0.48,0.6,,,,,,1.49,0.72,3.34,0.46
0.55,0.99,0.28,0.56,,,,,,2.55,1.03,4.29,0.82
0.55,0.81,0.25,0.28,,,,,,2.16,1.1,2.98,0.74
0.75,1.03,0.26,0.58,,,,,,2,0.88,2.81,0.3
1.01,1.39,0.21,0.9,S,,,,,1.94,0.81,2.13,0.39
0.89,1.43,0.13,1.03,S,,,,,1.67,0.81,1.87,0.49
0.65,1.55,0.17,1.06,S,,,,,1.57,0.82,1.93,0.36
0.49,1.47,0.21,0.8,S,,,,,1.41,0.8,1.48,0.3
0.38,1.3,0.19,0.8,S,,,,,1.44,0.8,1.81,0.26
0.35,1.23,0.15,0.73,S,,,,,1.54,0.8,1.9,0.43
0.31,1.12,0.09,0.62,,,,,,1.54,0.81,1.81,0.45
0.4,1.06,0.41,0.8,,,,,,1.63,0.82,1.93,0.31
0.5,1.2,0.54,1.11,,,,,,1.46,0.75,1.29,0.21
0.44,1.4,0.23,1.15,,,,,,1.05,0.89,0.65,0.32
0.66,1.19,1.11,0.58,,,,,,0.67,1.24,0.39,0.69
1.14,1.01,1.53,0.34,,,,,,0.4,1.31,0.17,0.78
1.26,1.05,0.75,0.52,P,,,,,0.26,1.1,0.07,0.48
1.11,0.97,0.45,0.4,P,,,,,0.23,0.91,0.06,0.3
0.94,0.92,0.37,0.79,P,,,,,0.2,0.78,0.05,0.24
0.75,0.98,0.47,0.85,P,,,,,0.17,0.69,0.06,0.14
0.68,0.96,0.63,0.64,P,,,,,0.16,0.67,0.05,0.16
0.66,0.91,0.8,0.81,P,,,,,0.15,0.69,0.04,0.14
0.64,0.95,0.65,0.61,P,,,,,0.14,0.75,0.04,0.16
0.6,1,0.44,0.53,P,,,,,0.14,0.76,0.04,0.27
0.56,0.98,0.47,0.58,,,,,,0.13,0.73,0.04,0.28
0.52,0.95,0.5,0.6,,,,,,0.52,0.67,0.75,0.14
0.5,0.78,0.42,0.35,,,,,,1.63,0.65,3.62,0.29
0.78,0.62,0.61,0.09,,,,,,2.28,0.9,4.99,0.67
0.98,0.73,0.88,0.09,R,,,,,2.27,1.01,3.31,0.59
0.77,0.89,0.66,0.06,R,,,,,2.02,0.88,2.62,0.36
0.57,0.93,0.41,0.05,R,,,,,1.66,0.83,2.3,0.29
0.47,0.91,0.32,0.06,R,,,,,1.45,0.8,1.36,0.37
0.43,0.87,0.25,0.06,R,,,,,1.42,0.8,1.86,0.41
0.36,0.8,0.21,0.04,R,,,,,1.54,0.83,2.23,0.3
0.31,0.74,0.17,0.03,R,,,,,1.48,0.82,1.4,0.38
0.32,0.66,0.26,0.04,R,,,,,1.33,0.78,1.22,0.34
0.36,0.62,0.28,0.03,R,,,,,1.22,0.77,1.17,0.27
0.34,0.63,0.16,0.03,,,,,,1.12,0.78,0.8,0.22
0.3,0.63,0.16,0.04,,,,,,0.82,0.59,0.57,0.09
0.29,0.61,0.17,0.02,,,,,,0.82,0.43,1.02,0.08
0.32,0.73,0.16,0.09,,,,,,1.14,0.51,1.5,0.1
0.56,1.09,0.15,0.45,,,,,,1.14,0.58,0.98,0.07
0.76,1.72,0.17,0.81,S,,,,,0.95,0.57,0.45,0.09
0.61,2.25,0.14,0.98,S,,,,,0.8,0.5,0.37,0.07
0.41,2.12,0.11,0.86,S,,,,,0.68,0.46,0.27,0.04
0.32,1.61,0.07,0.81,S,,,,,0.6,0.45,0.28,0.04
0.32,1.33,0.12,0.82,S,,,,,0.55,0.45,0.27,0.04
0.31,1.21,0.14,0.71,S,,,,,0.62,0.47,0.44,0.05
0.27,1.14,0.09,0.58,,,,,,0.76,0.47,0.5,0.05
0.23,1.11,0.09,0.43,,,,,,0.67,0.45,0.27,0.03
0.21,1.18,0.09,0.57,,,,,,0.54,0.41,0.22,0.03
0.3,1.32,0.31,0.76,,,,,,0.48,0.5,0.23,0.11
0.95,1.09,1.64,0.51,,,,,,0.51,0.93,0.17,0.51
1.46,0.99,1.91,0.57,R,,,,,0.58,1.18,0.09,0.59
1.38,1.1,0.89,0.69,R,,,,,0.62,1.04,0.05,0.35
1.24,1.02,0.63,0.49,R,,,,,0.54,0.98,0.05,0.36
0.96,0.95,0.42,0.46,R,,,,,0.35,0.91,0.05,0.33
0.69,0.87,0.3,0.45,R,,,,,0.25,0.78,0.05,0.28
0.56,0.8,0.31,0.54,R,,,,,0.21,0.75,0.05,0.27
0.44,0.75,0.24,0.47,R,,,,,0.16,0.72,0.05,0.2
0.39,0.75,0.23,0.32,R,,,,,0.14,0.72,0.05,0.22
0.43,0.73,0.28,0.21,,,,,,0.12,0.71,0.04,0.24
0.44,0.7,0.29,0.3,,,,,,0.12,0.71,0.03,0.23
0.45,0.71,0.34,0.31,,,,,,0.12,0.77,0.03,0.26
0.42,0.61,0.28,0.13,,,,,,0.15,0.76,0.19,0.33
0.59,0.88,0.2,0.39,,,,,,1.12,0.72,1.96,0.26
0.89,1.27,0.14,0.61,S,,,,,2.11,0.87,3.59,0.4
0.8,1.43,0.07,0.57,S,,,,,2.16,1.05,3.6,0.49
0.5,1.55,0.09,0.58,S,,,,,2.07,1.01,2.87,0.41
0.32,1.43,0.11,0.53,S,,,,,1.67,0.93,1.84,0.4
0.25,1.33,0.1,0.5,S,,,,,1.33,0.9,1.73,0.45
0.22,1.24,0.08,0.54,S,,,,,1.36,0.87,1.61,0.39
0.22,1.09,0.1,0.47,,,,,,1.24,0.78,1.05,0.24
0.23,1.03,0.1,0.51,,,,,,1.12,0.73,0.99,0.42
0.22,1.07,0.1,0.66,,,,,,1.21,0.79,1.17,0.36
0.22,1.1,0.1,0.62,,,,,,1.23,0.76,1.17,0.24
0.67,1.03,1.1,0.41,,,,,,1.01,0.65,0.81,0.27
1.33,1.08,1.95,0.67,P,,,,,0.64,0.56,0.31,0.17
1.44,1.08,1.22,0.84,P,,,,,0.64,0.97,0.52,0.66
1.21,0.97,0.57,0.49,P,,,,,0.6,1.34,0.51,0.83
0.96,0.92,0.53,0.32,P,,,,,0.33,1.19,0.09,0.42
0.75,0.88,0.52,0.32,P,,,,,0.25,1.09,0.06,0.38
0.62,0.87,0.43,0.3,P,,,,,0.22,1.05,0.05,0.34
0.51,0.82,0.35,0.29,P,,,,,0.2,0.98,0.04,0.32
0.45,0.81,0.34,0.38,P,,,,,0.16,0.86,0.04,0.28
0.45,0.8,0.38,0.47,P,,,,,0.13,0.75,0.04,0.2
0.44,0.78,0.28,0.57,,,,,,0.13,0.73,0.04,0.2
0.43,0.77,0.33,0.6,,,,,,0.13,0.8,0.04,0.37
0.47,0.75,0.33,0.6,,,,,,0.2,0.83,0.15,0.39
0.56,0.64,0.48,0.31,,,,,,0.99,0.77,1.87,0.34
0.86,0.58,0.63,0.06,R,,,,,2.2,0.95,4.05,0.5
0.86,0.66,0.43,0.07,R,,,,,2.32,1.15,3.28,0.53
0.57,0.73,0.31,0.14,R,,,,,1.87,1.14,2.74,0.54
0.5,0.76,0.28,0.19,R,,,,,1.79,1.1,2.43,0.57
0.45,0.73,0.23,0.14,R,,,,,1.51,0.99,1.33,0.57
0.43,0.73,0.25,0.11,R,,,,,1.23,1,1.29,0.64
0.54,0.76,0.49,0.11,R,,,,,1.18,1.04,1.14,0.65
0.61,0.74,0.53,0.12,R,,,,,1.38,1.06,1.99,0.74
0.57,0.71,0.41,0.11,R,,,,,1.8,1.05,3.27,0.71
0.5,0.68,0.33,0.09,R,,,,,1.7,1.03,2.53,0.44
0.46,0.65,0.26,0.12,,,,,,1.37,0.97,1.49,0.32
0.45,0.59,0.29,0.09,,,,,,1.37,0.94,1.45,0.38
0.37,0.51,0.22,0.03,,,,,,1.07,0.69,0.9,0.22
0.47,0.85,0.21,0.36,,,,,,0.75,0.39,0.56,0.03
0.81,1.39,0.21,0.68,,,,,,0.89,0.43,0.72,0.08
0.86,1.8,0.13,0.71,S,,,,,0.89,0.5,0.52,0.11
0.61,2.01,0.16,0.71,S,,,,,0.86,0.52,0.36,0.09
0.42,1.8,0.12,0.58,S,,,,,0.84,0.49,0.36,0.08
0.34,1.61,0.11,0.56,S,,,,,0.65,0.46,0.27,0.06
0.29,1.4,0.11,0.5,S,,,,,0.56,0.42,0.21,0.06
0.22,1.12,0.08,0.28,,,,,,0.57,0.39,0.22,0.07
0.21,0.98,0.07,0.27,,,,,,0.52,0.39,0.17,0.06
0.23,0.93,0.06,0.73,,,,,,0.48,0.35,0.3,0.03
0.21,1.11,0.06,0.85,,,,,,0.57,0.3,0.38,0.01
0.3,1.34,0.42,0.97,,,,,,0.52,0.34,0.25,0.08
0.78,1.19,0.93,1.01,,,,,,0.46,0.7,0.22,0.28
1.22,1.08,0.84,0.74,P,,,,,0.57,1.07,0.14,0.45
1.35,1.22,0.68,1.02,P,,,,,0.76,1.09,0.07,0.33
1.18,1.15,0.67,0.79,P,,,,,0.83,0.92,0.06,0.21
0.87,1.01,0.46,0.43,P,,,,,0.63,0.78,0.05,0.22
0.65,0.88,0.26,0.51,P,,,,,0.43,0.8,0.07,0.28
0.58,0.85,0.38,0.48,P,,,,,0.31,0.85,0.06,0.22
0.61,0.92,0.56,0.54,P,,,,,0.23,0.81,0.04,0.12
0.59,0.96,0.39,0.56,P,,,,,0.2,0.72,0.05,0.15
0.54,0.91,0.33,0.37,P,,,,,0.18,0.7,0.04,0.26
0.51,0.86,0.36,0.25,P,,,,,0.16,0.71,0.04,0.25
0.46,0.82,0.3,0.27,,,,,,0.14,0.66,0.06,0.16
0.44,0.73,0.34,0.29,,,,,,0.63,0.54,1.03,0.15
0.54,0.64,0.69,0.23,,,,,,1.75,0.71,2.87,0.22
0.89,0.64,0.96,0.11,R,,,,,2.16,1.01,3.16,0.54
1.01,0.63,1.1,0.06,R,,,,,1.73,1.02,2.05,0.57
0.75,0.59,0.79,0.04,R,,,,,1.47,1.04,1.88,0.58
0.56,0.6,0.36,0.05,R,,,,,1.38,1.07,1.8,0.68
0.49,0.62,0.34,0.05,R,,,,,1.38,0.96,1.52,0.58
0.5,0.58,0.29,0.04,R,,,,,1.38,0.88,1.23,0.42
0.49,0.55,0.36,0.05,R,,,,,1.23,0.88,0.9,0.48
