Ext Mean,Flex Mean,Ext Var,Flex Var,Ext Freq 2,Flex Freq 2,Ext Freq 1,Flex Freq 1,Gesture
0.75,0.44,0.65,0.08,75.15,94.78,69.51,103.97,
0.63,0.42,0.58,0.07,118.04,119.83,75.15,94.78,
0.49,0.42,0.3,0.07,109.67,108.14,118.04,119.83,
0.51,0.43,0.31,0.07,200,111.24,109.67,108.14,
0.52,0.39,0.35,0.04,62.41,69.07,200,111.24,
0.39,0.34,0.22,0.05,45.05,49.58,62.41,69.07,
0.36,0.63,0.22,0.38,39.9,76.15,45.05,49.58,
0.42,1.18,0.23,0.77,100.59,79.05,39.9,76.15,
0.38,1.49,0.14,1.01,46.23,87.09,100.59,79.05,R
0.45,1.8,0.22,1.49,31.24,93.54,46.23,87.09,R
0.51,1.77,0.21,1.35,44.5,64.21,31.24,93.54,R
0.46,1.42,0.17,0.78,30.44,113.15,44.5,64.21,
0.48,1.29,0.2,0.82,26.36,68.07,30.44,113.15,
0.5,1.21,0.22,0.82,66.59,120.82,26.36,68.07,
0.43,1.16,0.18,0.74,143.65,140.52,66.59,120.82,
0.33,1.16,0.16,0.88,96.48,112.32,143.65,140.52,
0.29,1.2,0.14,0.85,87.8,160.45,96.48,112.32,
0.38,1.2,0.36,0.76,43.79,141.93,87.8,160.45,
1.09,0.99,1.51,0.43,50.64,122.29,43.79,141.93,P
1.61,0.78,1.84,0.09,184.95,75.19,50.64,122.29,P
1.26,0.65,1.09,0.09,103.01,84.07,184.95,75.19,P
0.92,0.51,0.7,0.08,32.43,102.2,103.01,84.07,
0.78,0.44,0.4,0.06,51.26,144.65,32.43,102.2,
0.72,0.42,0.45,0.06,55.88,55.84,51.26,144.65,
0.71,0.44,0.53,0.08,45.69,120.63,55.88,55.84,
0.63,0.43,0.41,0.06,65.57,146.67,45.69,120.63,
0.63,0.4,0.5,0.06,48.07,154.59,65.57,146.67,
0.61,0.38,0.45,0.05,58.82,88.42,48.07,154.59,
0.59,0.33,0.33,0.02,76.22,115.78,58.82,88.42,
0.47,0.42,0.26,0.19,52.38,51.97,76.22,115.78,
0.59,1.26,0.71,1.33,87.53,138.78,52.38,51.97,S
0.95,1.87,1.21,1.76,84.35,39.95,87.53,138.78,S
0.89,1.59,0.78,1.2,62.48,197.34,84.35,39.95,S
0.85,1.33,0.91,0.88,73.5,118.98,62.48,197.34,
0.93,1.09,1,0.55,153.21,180.6,73.5,118.98,
0.87,0.99,0.78,0.66,100.46,182.31,153.21,180.6,
0.96,1.01,1.05,0.68,53.4,196.96,100.46,182.31,
0.98,1.05,0.92,0.64,51.95,67.8,53.4,196.96,
0.93,1.05,0.77,0.75,60.87,169.11,51.95,67.8,
0.89,0.98,0.68,0.61,97.66,117.99,60.87,169.11,
0.79,0.91,0.59,0.49,41.48,141.06,97.66,117.99,
0.86,0.63,0.99,0.3,48.51,107.86,41.48,141.06,
1.1,0.46,1.45,0.05,78.76,59.55,48.51,107.86,P
1.11,0.54,1.22,0.06,62.56,156.82,78.76,59.55,P
0.9,0.52,0.83,0.05,101.14,146.46,62.56,156.82,
0.74,0.48,0.59,0.05,80.03,100.21,101.14,146.46,
0.63,0.43,0.44,0.05,63.87,79.67,80.03,100.21,
0.74,0.44,0.64,0.08,83.63,101.84,63.87,79.67,
0.82,0.43,0.6,0.07,36.87,147.71,83.63,101.84,
0.68,0.37,0.46,0.03,66.01,69.83,36.87,147.71,
0.55,0.34,0.39,0.03,73.61,75.68,66.01,69.83,
0.53,0.33,0.35,0.03,37.69,93.18,73.61,75.68,
0.47,0.34,0.25,0.05,83.79,58.11,37.69,93.18,
0.51,1.49,0.33,1.95,41.07,74.21,83.79,58.11,
0.76,2.41,0.67,2.89,76.06,75.94,41.07,74.21,S
0.94,1.94,0.89,1.49,44.56,67.81,76.06,75.94,S
1.03,1.55,1.02,1,104.14,159.1,44.56,67.81,
1.02,1.34,0.9,0.75,85.5,108.48,104.14,159.1,
0.89,1.24,0.72,0.75,87.33,200,85.5,108.48,
0.92,1.23,0.73,0.88,48.62,83.65,87.33,200,
0.92,1.27,0.73,0.94,44.53,120.15,48.62,83.65,
0.84,1.18,0.62,0.9,51.42,136.98,44.53,120.15,
0.79,0.99,0.51,0.68,81.47,172.55,51.42,136.98,
0.73,0.77,0.38,0.37,56.29,34.23,81.47,172.55,
0.79,1.16,0.62,1.09,39.38,77.26,56.29,34.23,R
0.65,1.75,0.61,1.65,56.52,99.46,39.38,77.26,R
0.43,1.63,0.2,1.2,101.87,101.57,56.52,99.46,R
0.45,1.5,0.18,1.12,55.89,32.68,101.87,101.57,
0.43,1.52,0.14,1.11,55.45,200,55.89,32.68,
0.39,1.45,0.15,1.11,45.57,62.75,55.45,200,
0.4,1.37,0.19,0.88,45.12,58.46,45.57,62.75,
0.39,1.28,0.2,0.68,95.98,200,45.12,58.46,
0.32,1.23,0.16,0.74,107.87,138.44,95.98,200,
0.3,1.33,0.13,0.82,95.98,123.18,107.87,138.44,
0.4,1.13,0.4,0.47,65.23,57.08,95.98,123.18,
1.15,1.11,1.69,1.17,200,127.27,65.23,57.08,S
1.48,1.59,1.71,1.91,89.02,128.63,200,127.27,S
1.03,1.56,0.79,1.31,82.3,124.95,89.02,128.63,S
1.02,1.27,1.04,0.76,69.96,55.56,82.3,124.95,
1.02,1.12,1.07,0.67,43.65,107.31,69.96,55.56,
0.95,0.99,0.95,0.59,49.34,172.79,43.65,107.31,
0.96,0.95,0.9,0.46,75.56,115.18,49.34,172.79,
0.98,0.99,0.96,0.72,65.92,161.56,75.56,115.18,
0.97,0.99,0.85,0.62,49.5,41.94,65.92,161.56,
0.92,0.99,0.73,0.49,108.25,121.13,49.5,41.94,
0.91,0.97,0.71,0.61,44.59,200,108.25,121.13,
0.77,0.7,0.51,0.32,88.59,145.68,44.59,200,
0.61,0.77,0.34,0.39,36.26,62.7,88.59,145.68,
0.5,1.31,0.21,0.94,100.62,100.03,36.26,62.7,R
0.39,1.54,0.18,1.14,54.22,152.61,100.62,100.03,R
0.37,1.44,0.15,1,25.19,107.14,54.22,152.61,R
0.35,1.28,0.14,0.79,70.85,200,25.19,107.14,
0.37,1.3,0.17,0.79,31.22,90.16,70.85,200,
0.43,1.43,0.21,1.07,43.43,44.39,31.22,90.16,
0.43,1.36,0.2,0.89,63.5,99.25,43.43,44.39,
0.34,1.15,0.12,0.48,76.89,109.66,63.5,99.25,
0.3,1.15,0.11,0.7,52.31,78.45,76.89,109.66,
0.26,1.16,0.1,0.74,49.57,160.21,52.31,78.45,
0.4,0.88,0.2,0.36,48.73,133.43,49.57,160.21,
0.46,0.62,0.21,0.08,57.16,198.4,48.73,133.43,
0.3,0.46,0.09,0,80.06,154.79,57.16,198.4,
0.18,0.31,0.05,0.02,52.8,102.32,80.06,154.79,
0.14,0.25,0.03,0.02,65.02,51.19,52.8,102.32,
0.13,0.24,0.04,0,74.68,39.17,65.02,51.19,
0.12,0.23,0.03,0,102.19,51.45,74.68,39.17,
0.11,0.22,0.02,0,89.49,49.76,102.19,51.45,
0.11,0.2,0.02,0,49.69,52.91,89.49,49.76,
0.1,0.19,0.02,0,94.54,49.22,49.69,52.91,
0.09,0.19,0.02,0,199.2,50.3,94.54,49.22,
0.09,0.19,0.02,0,158.64,51.58,199.2,50.3,
0.09,0.2,0.02,0,48.68,154.95,158.64,51.58,
0.08,0.19,0.01,0,57.17,50.65,48.68,154.95,
0.08,0.19,0.02,0,112.63,50.66,57.17,50.65,
0.08,0.2,0.02,0,83.5,51.8,112.63,50.66,
0.08,0.2,0.02,0,52.51,200,83.5,51.8,
0.11,0.19,0.02,0,80.27,50.75,52.51,200,
0.11,0.19,0.03,0,76.55,46.83,80.27,50.75,
0.1,0.2,0.02,0,63.53,152.05,76.55,46.83,
0.11,0.19,0.02,0,50.16,156.64,63.53,152.05,
0.06,0.2,0,0,50.94,50.69,32.31,50.61,
0.06,0.19,0,0,52.84,50.22,50.94,50.69,
0.06,0.19,0,0,48.28,51.04,52.84,50.22,
0.06,0.19,0,0,52.45,53.33,48.28,51.04,
0.06,0.19,0,0,50.05,50.25,52.45,53.33,
0.06,0.19,0,0,51.26,50.79,50.05,50.25,
0.06,0.19,0,0,106.29,50.33,51.26,50.79,
0.06,0.2,0,0,48.14,51.3,106.29,50.33,
0.06,0.2,0,0,101.23,50.53,48.14,51.3,
