1,2,3,4
0.52,0.39,0.17,0.06
0.44,1.67,0.13,1.14
1.56,0.45,1.93,0.06
1.44,0.8,1.81,0.26
1.38,1.07,1.8,0.68
0.77,0.37,0.63,0.06
1.75,0.9,2.15,0.33
1.27,0.7,0.95,0.16
0.68,0.42,0.5,0.05
0.58,4.07,0.33,0.01
0.77,0.89,0.07,0.26
1.75,0.71,2.87,0.22
0.14,0.61,0.03,0.09
0.25,1.25,0.08,0.0
1.17,0.77,1.14,0.25
0.71,0.45,0.44,0.06
0.14,0.75,0.04,0.16
1.0,0.72,0.67,0.22
0.13,0.73,0.04,0.2
1.18,1.04,1.14,0.65
1.45,1.47,1.45,0.5
0.14,0.66,0.06,0.16
1.23,1.0,1.29,0.64
1.67,0.81,1.87,0.49
1.4,0.71,1.57,0.21
0.4,2.19,0.11,0.0
0.14,0.72,0.05,0.22
0.93,0.42,0.59,0.05
0.21,0.75,0.05,0.27
0.39,0.67,0.15,0.0
0.55,0.87,0.55,0.04
0.18,0.86,0.05,0.26
0.64,0.56,0.31,0.17
0.3,1.4,0.08,0.6
1.32,0.73,1.58,0.15
0.45,0.68,0.24,0.01
0.2,1.08,0.07,0.27
0.1,1.44,0.01,0.0
1.11,0.91,0.06,0.27
1.7,1.03,2.53,0.44
0.69,0.44,0.57,0.07
0.65,0.46,0.27,0.06
0.42,0.65,0.2,0.02
1.01,0.65,0.81,0.27
2.07,1.01,2.87,0.41
0.34,0.96,0.15,0.02
0.76,0.47,0.5,0.05
0.35,0.49,0.16,0.02
0.57,0.39,0.22,0.07
0.19,0.97,0.05,0.32
0.34,1.09,0.16,0.01
1.79,1.1,2.43,0.57
1.37,0.49,1.08,0.07
0.33,0.28,0.13,0.0
0.6,1.34,0.51,0.83
0.16,0.67,0.05,0.16
0.2,0.74,0.06,0.15
1.59,0.92,1.76,0.24
1.13,0.7,1.19,0.17
0.84,0.49,0.36,0.08
0.88,0.37,0.66,0.05
0.46,0.74,0.2,0.01
0.25,0.82,0.08,0.2
0.38,0.5,0.18,0.01
2.27,1.01,3.31,0.59
1.18,0.81,1.1,0.12
0.64,0.23,0.52,0.01
1.54,0.83,2.23,0.3
0.42,0.56,0.16,0.0
0.3,0.83,0.06,0.3
0.67,0.45,0.27,0.03
0.19,0.37,0.11,0.03
0.53,0.43,0.3,0.02
1.3,0.86,1.46,0.42
1.73,0.82,1.8,0.12
1.37,0.97,1.49,0.32
0.13,1.64,0.02,0.0
2.16,1.1,2.98,0.74
0.2,0.83,0.15,0.39
2.16,0.59,3.21,0.16
0.22,1.05,0.05,0.34
0.35,1.81,0.17,0.0
1.48,0.52,2.28,0.07
1.12,0.39,1.11,0.03
0.7,0.62,1.29,0.14
0.3,0.9,0.1,0.25
0.42,0.75,0.04,0.3
1.35,0.77,1.43,0.21
1.0,0.68,0.95,0.12
0.15,0.64,0.03,0.15
0.16,0.86,0.04,0.28
1.2,0.81,0.97,0.15
0.14,0.74,0.05,0.23
0.44,0.75,0.19,0.0
1.49,0.72,1.5,0.12
1.37,0.43,0.59,0.06
0.52,1.08,0.36,0.49
0.36,1.99,0.14,0.0
0.2,0.61,0.26,0.25
0.79,0.39,0.55,0.06
0.87,0.41,0.6,0.07
2.2,0.95,4.05,0.5
0.67,1.24,0.39,0.69
0.2,0.86,0.07,0.24
0.19,0.71,0.04,0.18
1.66,0.83,2.3,0.29
0.3,1.42,0.11,0.0
0.8,0.39,0.4,0.03
1.51,0.84,2.18,0.34
0.74,0.34,0.54,0.04
0.16,0.71,0.05,0.29
1.17,0.79,0.9,0.24
2.11,0.87,3.59,0.4
0.5,0.38,0.18,0.03
0.81,0.44,0.65,0.08
0.99,0.76,0.79,0.21
0.23,0.97,0.09,0.37
0.7,1.73,0.57,1.14
1.51,0.55,1.26,0.1
1.63,0.65,3.62,0.29
1.55,1.17,2.13,0.63
1.67,0.93,1.84,0.4
0.22,0.9,0.09,0.29
1.05,0.65,0.89,0.13
1.77,0.73,2.22,0.2
1.57,0.46,0.99,0.08
1.54,0.8,1.9,0.43
1.47,1.04,1.88,0.58
0.72,1.14,0.68,0.37
0.53,0.77,0.07,0.18
1.41,0.68,3.23,0.3
0.26,0.96,0.13,0.34
1.73,1.02,2.05,0.57
0.55,0.34,0.26,0.01
0.57,0.3,0.38,0.01
1.72,0.73,2.1,0.29
1.44,0.49,1.72,0.11
1.14,0.47,0.64,0.06
0.42,1.4,0.1,0.83
0.24,0.7,0.64,0.29
0.94,0.5,0.74,0.1
1.09,0.74,1.04,0.09
1.37,0.94,1.45,0.38
0.33,1.19,0.09,0.42
1.0,0.64,0.81,0.06
0.24,1.01,0.07,0.43
0.47,0.44,0.19,0.04
0.68,1.38,0.43,1.12
0.45,1.02,0.22,0.01
0.41,0.64,0.26,0.01
1.22,0.71,1.5,0.27
0.28,0.95,0.1,0.32
0.56,0.25,0.32,0.01
2.28,0.9,4.99,0.67
0.2,0.98,0.04,0.32
0.63,0.54,1.03,0.15
0.12,0.58,0.05,0.14
0.17,0.71,0.05,0.18
0.47,0.26,0.24,0.01
0.7,0.5,0.41,0.08
1.08,0.71,0.96,0.18
0.34,1.02,0.09,0.37
0.18,0.84,0.04,0.3
0.23,0.98,0.07,0.3
1.33,0.83,1.43,0.31
1.48,0.82,1.4,0.38
1.8,1.05,3.27,0.71
1.16,0.97,0.07,0.38
0.65,0.36,0.3,0.03
1.21,0.61,2.37,0.2
2.59,0.84,4.28,0.39
0.08,1.23,0.02,0.0
1.01,0.69,0.79,0.11
0.45,0.61,0.3,0.01
1.49,0.72,3.34,0.46
0.93,0.56,1.05,0.08
0.29,1.05,0.1,0.42
0.15,0.76,0.19,0.33
0.15,0.84,0.04,0.28
1.08,0.65,1.01,0.1
1.12,0.73,0.99,0.42
0.33,2.58,0.08,0.0
0.24,0.95,0.1,0.31
0.98,0.37,0.43,0.04
0.38,0.21,0.14,0.0
0.55,0.45,0.27,0.04
0.83,0.92,0.06,0.21
1.18,0.63,1.13,0.16
0.19,0.79,0.07,0.32
