Label,meanEE,meanEF,varRE,varRF
R,0.44764694135658667,0.5665296329349115,0.20480349729228223,0.405722492527752
R,0.49743726286360923,0.5243954179041155,0.2888485620800727,0.26013593265152446
P,0.8140185049590628,0.5622723216245081,0.8875406212654419,0.02155834565707294
P,0.99540704253478,0.7259227831989818,0.96254484219233,0.011579152420929655
N,0.5561472408972907,0.4871329714862552,0.29635693106442695,0.02229762948500026
N,0.3404113692338414,0.3163138413822363,0.23936500004674638,0.2680641332937175
S,0.8407109099380953,0.35676561379895544,0.8335255608058201,0.5739619035518513
S,0.9170605072222592,0.4006554211227013,0.7736230291571179,0.3849421657980317
S,0.3617786061372563,0.22680789431334394,0.16416435821837838,0.09951034393001601
N,0.21340611063036685,0.24667534709522623,0.11391939665768583,0.3766977175244281
R,0.33002729148638754,0.6306087516275805,0.1681125059876666,0.7284483444399251
R,0.4748052985422353,0.5635451260368968,0.22533658798418973,0.3923878502216587
P,0.6760966518005725,0.5054935408833556,0.5299839797263518,0.005196504733524722
P,0.6685748518937631,0.6148815706699049,0.49146767814923753,0.00869965596597833
N,0.3535911602209947,0.393735461501324,0.1319643231310643,0.019645273066990647
N,0.2381015775810425,0.2900384767310872,0.13772294949571603,0.13806273062212004
S,0.5620714903814152,0.35875528506429855,0.45349047280430677,0.5024690112177186
S,0.6880782799707118,0.380612409111524,0.4752892916047275,0.43494326207443046
S,0.40504559675164753,0.2406770734276477,0.16900043020456776,0.11499370203263702
N,0.20841376555947544,0.19140344973885567,0.04588410475928066,0.21835605202196942
R,0.2479531385209347,0.5327783711029509,0.10985850751874937,0.5695146194079717
R,0.2766424815283232,0.6590932365806915,0.14680493708206632,0.5075809621202776
N,0.372428942288491,0.5102336400743203,0.21488671760926695,0.09578547782331231
P,0.8214737402649274,0.6747765277310434,0.6444180682343765,0.008136788309308491
P,0.7829994009185915,0.654557956490571,0.5613744252252489,0.011748864440363556
N,0.29108699993343545,0.3902974265942973,0.10825742539408605,0.03471339540131728
N,0.2000931904413233,0.19741635334220883,0.13724414239839933,0.12378640094425944
S,0.5957531784596951,0.2773982122218484,0.483493701057184,0.30339246948064896
S,0.6652466218465021,0.32491624361769045,0.48921369287930994,0.23422310686418016
N,0.2368368501630833,0.11475721621582086,0.1088795652692786,0.025553921760158926
N,0.06496705052253215,0.0,0.0,0.0
