Env Ext Mean,Env Flex Mean,Raw Ext Var,Raw Flex Var,Label
0.85,0.77,0.21000000000000002,0.12,Rock
2.36,1.42,1.6500000000000001,0.8699999999999999,Rock
0.86,0.89,1.1400000000000001,0.12,Pinch
0.96,0.55,0.81,0.03,Scissors
3.07,1.36,1.77,0.03,Paper
3.12,0.45,0.24,0.03,Scissors
1.48,1.9,2.04,0.03,Pinch
3.09,1.7,1.2000000000000002,0.06,Scissors
1.18,0.55,1.53,0.03,Pinch
4.36,0.77,0.72,0.12,Peace
1.32,1.17,0.48,0.21000000000000002,Thumb
4.13,1.21,1.2000000000000002,0.36,Handshake
1.0,0.38,0.42000000000000004,0.03,Thumb
1.36,0.51,1.1099999999999999,0.03,Scissors
2.57,2.4,1.77,0.5700000000000001,Handshake
0.96,0.44,0.9299999999999999,0.03,Scissors
1.87,0.81,0.44999999999999996,0.15000000000000002,Rock
1.39,0.73,0.39,0.15000000000000002,Handshake
4.74,1.2,0.6900000000000001,0.48,Handshake
0.49,0.54,0.21000000000000002,0.03,Thumb
1.54,1.61,0.21000000000000002,1.1099999999999999,Rock
2.04,1.37,2.16,0.06,Scissors
0.72,0.92,0.81,0.39,Handshake
0.88,0.48,0.8699999999999999,0.03,Pinch
0.8,1.72,0.18,0.6900000000000001,Rock
1.08,1.68,0.96,0.03,Pinch
2.52,1.47,1.41,0.03,Scissors
0.55,1.35,0.15000000000000002,0.75,Rock
4.75,0.77,0.78,0.15000000000000002,Peace
3.49,1.52,2.0999999999999996,0.06,Pinch
1.33,0.4,1.62,0.03,Pinch
4.74,2.21,1.53,0.15000000000000002,Peace
3.8,0.95,2.16,0.21000000000000002,Peace
2.39,0.91,4.5,0.12,Pinch
1.11,0.49,0.96,0.03,Paper
1.13,1.79,0.5700000000000001,0.6000000000000001,Handshake
2.49,1.39,1.62,0.81,Rock
2.77,2.02,0.99,2.0100000000000002,Handshake
0.74,0.85,0.39,0.15000000000000002,Thumb
1.22,0.78,1.17,0.15000000000000002,Scissors
1.41,0.5,2.37,0.03,Pinch
1.41,3.51,0.36,0.51,Rock
1.56,0.72,1.29,0.12,Peace
1.64,0.62,0.6000000000000001,0.03,Thumb
4.28,1.76,1.2000000000000002,0.03,Paper
1.85,1.67,1.29,0.09,Scissors
4.29,1.13,1.71,0.06,Pinch
1.09,0.65,0.8699999999999999,0.24,Paper
0.27,0.77,0.09,0.09,Rock
1.45,0.48,0.99,0.06,Handshake
1.1,0.32,1.41,0.0,Pinch
1.77,1.22,0.78,0.39,Rock
4.01,1.37,1.35,0.12,Scissors
1.05,1.77,0.81,0.8999999999999999,Handshake
2.48,1.01,3.81,0.09,Pinch
1.15,0.47,0.6000000000000001,0.03,Peace
1.93,0.99,0.75,0.44999999999999996,Handshake
0.83,0.48,0.15000000000000002,0.03,Thumb
0.27,0.64,0.18,0.03,Thumb
0.79,0.61,0.8999999999999999,0.12,Scissors
2.58,0.83,0.48,0.27,Rock
1.03,0.3,1.17,0.0,Paper
4.72,1.71,0.78,0.09,Scissors
3.75,0.71,0.44999999999999996,0.18,Handshake
1.39,0.78,0.78,0.06,Handshake
1.2,0.9,1.08,0.03,Paper
1.63,0.58,0.51,0.06,Peace
4.42,1.31,0.27,0.5700000000000001,Rock
1.04,1.35,1.1099999999999999,1.53,Rock
0.75,1.04,0.21000000000000002,0.27,Thumb
0.8,0.53,0.72,0.06,Pinch
0.98,0.84,0.36,0.03,Handshake
1.44,0.52,0.8999999999999999,0.06,Peace
2.34,1.23,1.53,0.03,Scissors
0.31,0.49,0.15000000000000002,0.03,Thumb
2.14,1.17,0.21000000000000002,0.30000000000000004,Rock
0.98,0.6,1.02,0.09,Paper
4.65,0.76,0.63,0.18,Peace
2.32,0.79,0.66,0.30000000000000004,Handshake
0.94,0.63,0.33,0.12,Rock
1.05,1.11,1.0499999999999998,0.03,Pinch
0.45,0.59,0.15000000000000002,0.03,Thumb
0.77,1.06,0.63,0.09,Handshake
1.46,1.14,0.8999999999999999,0.03,Paper
1.25,0.63,1.02,0.18,Pinch
2.17,0.43,0.66,0.03,Rock
3.86,2.83,1.35,0.72,Handshake
1.31,0.58,1.8900000000000001,0.06,Pinch
4.75,0.95,1.29,0.15000000000000002,Peace
1.78,1.42,0.63,0.75,Handshake
1.77,0.91,2.0100000000000002,0.21000000000000002,Peace
1.67,1.39,0.33,0.6000000000000001,Rock
0.9,0.35,1.1099999999999999,0.0,Pinch
3.58,2.0,0.75,0.06,Scissors
1.64,0.55,1.59,0.03,Pinch
1.7,1.29,0.81,0.06,Peace
1.9,0.45,1.32,0.03,Paper
0.89,0.36,0.6900000000000001,0.0,Pinch
3.44,1.14,0.39,0.75,Handshake
1.56,0.85,2.73,0.06,Pinch
3.86,0.7,0.8400000000000001,0.09,Peace
1.99,0.44,2.67,0.03,Pinch
2.61,1.2,0.27,0.36,Rock
4.7,2.41,1.59,1.23,Handshake
1.85,0.55,1.59,0.09,Pinch
1.48,1.45,0.96,0.8999999999999999,Handshake
2.08,0.45,0.54,0.03,Thumb
0.45,1.77,0.15000000000000002,0.5700000000000001,Rock
1.34,0.64,0.39,0.18,Thumb
2.29,0.72,0.81,0.30000000000000004,Peace
3.93,0.45,0.42000000000000004,0.03,Thumb
2.83,1.71,0.5700000000000001,0.12,Peace
1.09,1.65,0.5700000000000001,0.21000000000000002,Handshake
3.46,0.97,2.04,0.12,Pinch
0.85,0.63,0.6000000000000001,0.06,Peace
0.95,0.57,0.44999999999999996,0.06,Peace
0.66,0.68,0.24,0.03,Thumb
1.19,1.61,1.23,0.06,Pinch
1.16,0.65,1.53,0.03,Pinch
1.69,0.7,2.16,0.03,Pinch
0.81,0.39,0.72,0.03,Thumb
3.38,1.76,0.21000000000000002,0.09,Thumb
0.47,0.66,0.18,0.03,Thumb
4.66,1.82,1.56,0.18,Peace
1.23,0.7,1.1099999999999999,0.09,Scissors
0.58,0.78,0.27,0.09,Thumb
0.71,1.18,0.5700000000000001,0.48,Handshake
1.95,0.9,2.7600000000000002,0.09,Pinch
1.26,0.76,0.44999999999999996,0.33,Handshake
0.69,0.86,0.44999999999999996,0.30000000000000004,Handshake
2.38,0.77,0.9299999999999999,0.09,Peace
0.25,0.57,0.12,0.03,Thumb
1.19,0.96,1.08,0.12,Scissors
1.58,0.72,0.81,0.09,Handshake
1.2,0.68,1.53,0.03,Paper
0.86,1.15,0.24,0.44999999999999996,Rock
3.39,0.66,0.81,0.06,Peace
1.73,0.78,1.35,0.0,Paper
1.31,0.74,1.26,0.06,Scissors
3.59,1.95,1.6500000000000001,0.03,Paper
1.16,0.55,1.44,0.06,Pinch
1.63,0.45,0.48,0.09,Peace
1.15,0.59,1.0499999999999998,0.03,Pinch
3.36,1.03,0.6000000000000001,0.09,Scissors
1.25,1.18,1.29,0.09,Scissors
1.39,0.47,0.8400000000000001,0.03,Scissors
1.94,0.67,0.36,0.06,Thumb
2.36,1.09,1.26,0.06,Scissors
0.52,0.82,0.21000000000000002,0.06,Thumb
1.21,3.11,0.44999999999999996,3.4499999999999997,Rock
1.12,0.41,0.78,0.0,Paper
1.67,0.71,0.27,0.15000000000000002,Rock
3.56,1.29,0.81,0.0,Paper
3.96,0.9,2.0999999999999996,0.12,Scissors
0.94,0.27,0.9299999999999999,0.0,Paper
1.12,0.59,1.35,0.09,Scissors
1.07,0.86,1.1099999999999999,0.06,Scissors
2.9,1.42,1.0499999999999998,0.03,Paper
2.4,1.06,2.4899999999999998,0.09,Pinch
3.5,0.77,1.41,0.18,Peace
2.0,1.99,0.54,0.5700000000000001,Rock
2.23,0.45,0.75,0.03,Pinch
2.83,0.75,2.16,0.03,Pinch
2.14,0.73,2.4000000000000004,0.21000000000000002,Peace
2.01,0.96,0.44999999999999996,0.24,Rock
1.17,0.44,1.7399999999999998,0.03,Pinch
4.61,0.97,1.35,0.24,Peace
1.93,0.86,0.75,0.33,Handshake
1.64,0.83,0.9299999999999999,0.03,Paper
2.15,0.58,0.63,0.06,Thumb
0.32,0.64,0.21000000000000002,0.06,Thumb
0.56,1.22,0.18,0.44999999999999996,Rock
2.21,1.36,2.73,0.03,Paper
1.56,0.45,1.9500000000000002,0.03,Pinch
0.38,0.43,0.12,0.03,Thumb
0.97,1.21,0.39,0.24,Thumb
2.94,1.81,0.36,0.5700000000000001,Rock
1.42,1.3,1.1400000000000001,0.06,Scissors
1.19,1.59,1.62,0.06,Pinch
1.16,1.0,1.02,0.03,Paper
0.75,1.2,0.81,0.33,Handshake
1.0,1.05,0.44999999999999996,0.54,Rock
2.39,1.71,0.18,0.09,Thumb
1.38,1.43,2.13,0.8400000000000001,Pinch
0.97,0.73,0.9299999999999999,0.09,Thumb
1.25,0.88,0.6000000000000001,0.44999999999999996,Handshake
1.21,1.06,1.56,0.03,Scissors
3.67,0.86,1.7399999999999998,0.15000000000000002,Rock
4.73,1.23,0.42000000000000004,0.51,Rock
2.54,0.81,1.8599999999999999,0.03,Pinch
0.77,1.66,0.24,0.9299999999999999,Rock
1.28,0.57,0.30000000000000004,0.06,Thumb
0.49,0.45,0.27,0.03,Thumb
1.09,1.09,0.96,0.03,Scissors
0.32,0.66,0.18,0.09,Rock
2.51,0.34,0.33,0.03,Thumb
1.57,0.63,0.96,0.03,Pinch
0.84,0.57,0.6900000000000001,0.06,Scissors
1.18,0.46,1.59,0.03,Pinch
1.24,0.58,1.44,0.09,Scissors
1.13,2.91,0.30000000000000004,0.63,Rock
4.53,0.71,0.42000000000000004,0.15000000000000002,Thumb
0.8,0.48,0.30000000000000004,0.06,Handshake
3.54,1.36,1.35,1.1099999999999999,Handshake
1.27,0.8,0.51,0.06,Handshake
1.41,0.73,1.02,0.39,Handshake
1.24,0.57,1.35,0.03,Pinch
1.95,0.92,0.8699999999999999,0.24,Peace
1.07,0.73,0.39,0.15000000000000002,Rock
4.37,1.34,0.8699999999999999,1.7999999999999998,Handshake
1.35,0.55,0.8699999999999999,0.06,Peace
2.75,0.61,0.6000000000000001,0.06,Thumb
1.24,0.66,0.39,0.15000000000000002,Handshake
0.29,1.34,0.06,0.39,Rock
1.42,1.09,0.8400000000000001,0.03,Paper
3.0,0.91,1.17,0.63,Handshake
3.94,1.07,2.07,0.03,Paper
2.03,0.8,0.8400000000000001,0.21000000000000002,Peace
0.93,0.66,0.44999999999999996,0.06,Thumb
2.01,0.71,0.72,0.12,Thumb
1.46,1.17,0.27,0.42000000000000004,Rock
0.8,0.82,0.15000000000000002,0.21000000000000002,Thumb
4.37,1.52,1.29,0.03,Paper
1.48,0.52,2.46,0.06,Pinch
0.88,0.82,0.72,0.0,Paper
3.02,0.78,1.3800000000000001,0.15000000000000002,Peace
0.85,0.98,0.51,0.5700000000000001,Handshake
1.37,1.4,1.62,0.12,Pinch
0.91,0.42,0.8400000000000001,0.03,Pinch
2.49,0.99,0.5700000000000001,0.12,Scissors
3.04,0.4,0.75,0.03,Pinch
1.58,0.6,1.77,0.03,Paper
1.16,0.36,0.9299999999999999,0.0,Paper
1.9,1.11,0.6900000000000001,0.09,Peace
2.07,0.97,0.33,0.24,Rock
2.34,0.82,0.81,0.30000000000000004,Handshake
1.77,0.52,0.8400000000000001,0.09,Peace
0.93,1.88,0.30000000000000004,0.6900000000000001,Rock
0.64,1.11,0.15000000000000002,0.24,Rock
