Env Ext Mean,Env Flex Mean,Raw Ext Var,Raw Flex Var,Label
2.24,0.65,0.6900000000000001,0.06,Thumb
2.38,0.77,0.9299999999999999,0.09,Peace
3.59,1.95,1.6500000000000001,0.03,Paper
4.75,0.95,1.29,0.15000000000000002,Peace
3.85,0.6,0.72,0.12,Peace
2.3,0.49,0.8999999999999999,0.06,Thumb
1.7,1.29,0.81,0.06,Peace
1.73,1.02,1.7399999999999998,0.03,Paper
1.16,0.48,0.36,0.03,Thumb
0.45,0.59,0.15000000000000002,0.03,Thumb
4.1,0.81,2.46,0.18,Peace
2.77,0.68,0.6000000000000001,0.0,Paper
1.42,1.09,0.8400000000000001,0.03,Paper
1.15,0.42,1.08,0.03,Paper
1.03,0.73,1.26,0.12,Peace
2.69,0.51,1.29,0.06,Paper
3.02,0.78,1.3800000000000001,0.15000000000000002,Peace
0.62,0.89,0.24,0.06,Thumb
1.21,0.67,1.53,0.24,Paper
0.81,0.43,0.42000000000000004,0.03,Thumb
0.97,1.21,0.39,0.24,Thumb
1.09,0.65,0.8699999999999999,0.24,Paper
4.75,0.92,1.3800000000000001,0.12,Peace
1.67,0.58,1.1099999999999999,0.0,Paper
3.65,0.77,1.41,0.03,Paper
0.55,0.69,0.21000000000000002,0.03,Thumb
4.03,1.08,1.29,0.21000000000000002,Peace
3.8,0.95,2.16,0.21000000000000002,Peace
0.75,1.04,0.21000000000000002,0.27,Thumb
2.95,1.27,0.75,0.03,Paper
1.11,0.49,0.96,0.03,Paper
1.15,0.39,1.7399999999999998,0.03,Paper
2.33,1.67,1.44,0.03,Paper
0.38,0.43,0.12,0.03,Thumb
1.98,0.81,0.36,0.03,Paper
2.52,1.25,0.96,0.44999999999999996,Peace
0.53,0.67,0.36,0.03,Thumb
1.94,0.66,0.78,0.09,Peace
1.18,0.35,0.8400000000000001,0.0,Paper
1.58,0.81,1.53,0.03,Paper
1.03,0.43,0.81,0.03,Paper
1.52,1.14,1.7999999999999998,0.03,Paper
0.85,0.63,0.6000000000000001,0.06,Peace
1.16,0.36,0.9299999999999999,0.0,Paper
1.07,0.29,0.99,0.03,Paper
1.61,0.53,0.42000000000000004,0.03,Thumb
1.83,0.85,1.08,0.12,Peace
1.17,0.65,0.81,0.06,Peace
1.5,1.05,0.8999999999999999,0.0,Paper
2.43,0.62,0.9299999999999999,0.09,Peace
2.49,1.45,3.75,0.03,Paper
3.37,0.65,0.6900000000000001,0.06,Peace
3.04,1.48,1.32,0.12,Paper
1.77,1.04,2.2800000000000002,0.03,Paper
0.25,0.57,0.12,0.03,Thumb
1.73,0.78,1.35,0.0,Paper
4.74,0.75,1.08,0.18,Peace
2.19,0.95,1.71,0.03,Paper
3.09,0.41,0.96,0.03,Paper
3.75,0.48,0.42000000000000004,0.06,Thumb
2.28,1.14,1.1099999999999999,0.03,Paper
1.94,0.67,0.36,0.06,Thumb
0.64,0.4,0.30000000000000004,0.06,Thumb
3.38,1.52,0.8999999999999999,0.12,Peace
1.25,0.55,0.75,0.03,Paper
1.81,1.33,1.26,0.03,Paper
3.02,1.89,1.2000000000000002,0.15000000000000002,Peace
4.74,2.21,1.53,0.15000000000000002,Peace
2.08,0.45,0.54,0.03,Thumb
4.74,0.68,0.44999999999999996,0.15000000000000002,Thumb
2.16,0.56,0.8699999999999999,0.06,Peace
1.46,0.64,0.8699999999999999,0.09,Peace
3.57,1.63,2.37,0.03,Paper
3.07,1.36,1.77,0.03,Paper
0.89,0.29,1.1099999999999999,0.0,Paper
0.51,0.69,0.15000000000000002,0.09,Thumb
1.67,0.51,0.9299999999999999,0.06,Peace
0.94,0.27,0.9299999999999999,0.0,Paper
3.0,0.88,1.0499999999999998,0.03,Paper
4.68,1.06,2.2199999999999998,0.06,Paper
2.77,0.63,0.66,0.09,Peace
0.29,1.01,0.12,0.44999999999999996,Thumb
3.59,2.35,0.78,0.09,Peace
3.5,0.77,1.41,0.18,Peace
1.34,0.64,0.39,0.18,Thumb
0.35,0.55,0.24,0.06,Thumb
4.66,1.82,1.56,0.18,Peace
1.8,1.05,1.98,0.03,Paper
0.49,0.54,0.21000000000000002,0.03,Thumb
0.55,0.5,0.24,0.03,Thumb
4.65,0.76,0.63,0.18,Peace
0.35,0.67,0.24,0.03,Thumb
3.2,0.68,0.30000000000000004,0.03,Thumb
4.28,1.76,1.2000000000000002,0.03,Paper
0.93,0.66,0.44999999999999996,0.06,Thumb
4.0,1.76,0.8699999999999999,0.30000000000000004,Peace
2.0,0.6,1.02,0.09,Peace
1.24,0.73,0.99,0.03,Paper
1.4,1.4,1.1400000000000001,0.03,Paper
1.08,0.96,0.6000000000000001,0.18,Thumb
1.15,0.68,0.78,0.12,Thumb
3.95,0.4,0.44999999999999996,0.03,Thumb
1.45,0.58,1.1099999999999999,0.06,Thumb
4.55,1.31,1.35,0.03,Paper
0.81,0.39,0.72,0.03,Thumb
1.88,0.53,0.39,0.06,Thumb
0.47,0.66,0.18,0.03,Thumb
1.78,0.5,0.44999999999999996,0.06,Peace
0.31,0.49,0.15000000000000002,0.03,Thumb
1.98,1.13,0.21000000000000002,0.03,Thumb
1.46,1.14,0.8999999999999999,0.03,Paper
4.48,1.69,1.2000000000000002,0.33,Peace
0.93,0.39,0.24,0.03,Thumb
1.16,0.43,0.81,0.0,Paper
0.42,0.52,0.18,0.03,Thumb
1.09,0.35,0.78,0.0,Paper
2.71,0.42,0.72,0.03,Thumb
0.78,1.06,0.8999999999999999,0.09,Thumb
1.0,0.38,0.42000000000000004,0.03,Thumb
3.56,1.29,0.81,0.0,Paper
0.64,0.96,0.18,0.21000000000000002,Thumb
1.44,0.52,0.8999999999999999,0.06,Peace
2.9,1.42,1.0499999999999998,0.03,Paper
0.85,0.27,0.8999999999999999,0.0,Paper
0.48,0.87,0.15000000000000002,0.21000000000000002,Thumb
3.43,0.65,1.0499999999999998,0.15000000000000002,Peace
2.23,0.51,0.66,0.03,Peace
0.86,0.45,0.5700000000000001,0.06,Thumb
