Env Ext Mean,Env Flex Mean,Raw Ext Var,Raw Flex Var,Label
1.13,2.91,0.30000000000000004,0.63,Rock
1.81,1.33,1.26,0.03,Paper
1.18,0.35,0.8400000000000001,0.0,Paper
1.46,1.17,0.27,0.42000000000000004,Rock
2.04,1.37,2.16,0.06,Scissors
1.98,0.81,0.36,0.03,Paper
0.75,0.5,0.72,0.0,Paper
4.52,0.95,0.8699999999999999,0.12,Scissors
1.39,0.47,0.8400000000000001,0.03,Scissors
2.0,1.99,0.54,0.5700000000000001,Rock
1.64,0.69,2.04,0.03,Paper
1.44,0.89,1.98,0.24,Paper
0.81,0.41,0.81,0.0,Paper
0.94,0.62,0.8999999999999999,0.03,Scissors
1.09,0.65,0.8699999999999999,0.24,Paper
1.15,0.42,1.08,0.03,Paper
0.48,0.73,0.15000000000000002,0.09,Rock
1.2,0.58,0.75,0.0,Paper
2.19,1.04,1.44,0.44999999999999996,Rock
0.96,0.55,0.81,0.03,Scissors
2.21,1.36,2.73,0.03,Paper
1.66,0.93,3.0300000000000002,0.03,Paper
1.67,0.71,0.27,0.15000000000000002,Rock
0.76,1.62,0.30000000000000004,0.8400000000000001,Rock
0.84,0.57,0.6900000000000001,0.06,Scissors
1.01,0.7,0.81,0.03,Scissors
3.36,1.03,0.6000000000000001,0.09,Scissors
1.09,0.35,0.78,0.0,Paper
1.31,0.74,1.26,0.06,Scissors
1.95,1.34,1.26,0.63,Rock
2.36,1.09,1.26,0.06,Scissors
0.98,0.6,1.02,0.09,Paper
1.12,0.59,1.35,0.09,Scissors
1.38,0.52,0.96,0.03,Paper
0.45,1.77,0.15000000000000002,0.5700000000000001,Rock
1.02,0.46,1.0499999999999998,0.06,Paper
4.55,1.31,1.35,0.03,Paper
3.09,0.41,0.96,0.03,Paper
1.15,1.64,0.9299999999999999,1.47,Rock
1.3,1.64,1.44,0.03,Paper
1.97,1.44,1.59,0.03,Paper
2.77,0.68,0.6000000000000001,0.0,Paper
1.52,1.14,1.7999999999999998,0.03,Paper
3.65,0.77,1.41,0.03,Paper
1.8,1.05,1.98,0.03,Paper
4.6,0.7,1.77,0.03,Paper
3.12,0.45,0.24,0.03,Scissors
1.05,0.53,1.1400000000000001,0.09,Paper
1.12,0.56,1.53,0.09,Scissors
1.11,0.54,1.1400000000000001,0.03,Paper
1.0,1.05,0.44999999999999996,0.54,Rock
1.66,0.74,0.9299999999999999,0.03,Paper
2.22,1.88,2.0999999999999996,0.03,Paper
2.07,0.47,0.51,0.06,Scissors
0.88,0.32,0.9299999999999999,0.0,Paper
0.95,1.28,0.54,0.6900000000000001,Rock
3.36,1.32,1.7999999999999998,0.03,Paper
2.19,0.95,1.71,0.03,Paper
0.86,0.91,0.75,0.15000000000000002,Scissors
2.17,0.43,0.66,0.03,Rock
4.37,1.52,1.29,0.03,Paper
2.23,0.86,1.6500000000000001,0.09,Scissors
1.14,0.56,1.56,0.09,Scissors
0.95,0.89,0.6900000000000001,0.12,Scissors
0.32,0.72,0.06,0.15000000000000002,Rock
